created_at,favorite_count,full_text,in_reply_to_screen_name,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
Sun Mar 31 22:46:40 +0000 2024,0,aku habis emosi mentok kemudian membaca komunitas ramah ramah setelahnya hatiku adem ayem beberapa detik sampe mataku tertuju pada twit bawahnya dari komunitas marah marah yang kok situasinya agak mirip gitu yaah sekarang aku kesel.,,0,0,0,https://x.com/kkkebeb/status/1774569024803991917,"1,12974E+18",kkkebeb
Sun Mar 31 22:39:29 +0000 2024,4,Keknya aku udah bisa join komunitas marah marah deh dari kemarin ada2 aja yg bikin marah,,0,0,0,https://x.com/DunkMochi/status/1774567219864965358,"1,61442E+18",DunkMochi
Sun Mar 31 22:11:25 +0000 2024,0,gue kalo kaya gini tuh gapernah ikut emosi karena tau kalo most of twitter's users are pendongeng handal especially when it comes to komunitas marah-marah ️,,0,0,0,https://x.com/juhyunprettys/status/1774560155402928490,"1,17216E+18",juhyunprettys
Sun Mar 31 21:51:02 +0000 2024,0,komunitas marah2 seokjin sama taehyung. seokjin suka ngespill kejadian yg bikin dia marah beserta screenshotnya terus taehyung suka BIKIN HURU HARA KYK wOY GW MARAH BGT MASA IDOLA GW DISAMAIN SAMA *PIP* ANJROT BUTA KAH MATA LU SINI LU YG MIKIR GITU TEMUIN GW SKRG ,mindglosss,0,1,0,https://x.com/mindglosss/status/1774555024200544497,"1,21481E+18",mindglosss
Sun Mar 31 21:50:50 +0000 2024,0,Buset ngeri banget mulut komunitas marah-marah,,0,0,0,https://x.com/NinaRFPiliang/status/1774554973625573647,153354914,NinaRFPiliang
Sun Mar 31 21:50:21 +0000 2024,0,kalo udah lewat subuh gini boleh ga sih ngetweet di komunitas marah marah?,,0,0,0,https://x.com/rojehhhhhhhh/status/1774554854331142182,"1,11941E+18",rojehhhhhhhh
Sun Mar 31 21:39:57 +0000 2024,0,Mending komunitas marah marah aja yess kerasa bgt emosi nya,ddazzlinghaze,0,1,0,https://x.com/hiimull/status/1774552238515789931,"1,35277E+18",hiimull
Sun Mar 31 20:08:04 +0000 2024,0,komunitas marah marah bikin drained energi,,0,0,0,https://x.com/avodcalor/status/1774529111949738271,3161646996,avodcalor
Sun Mar 31 19:44:47 +0000 2024,0,ni kenapa komunitas marah marah lewat mulu di tl jir,,0,1,0,https://x.com/mersscow/status/1774523255376027710,"7,56385E+17",mersscow
Sun Mar 31 18:35:52 +0000 2024,1,Komunitas marah-marah: Komunitas ramah-ramah: ,,0,0,0,https://x.com/andreast5/status/1774505908640370899,131787517,andreast5
Sun Mar 31 18:08:13 +0000 2024,0,Komunitas marah-marah = komunitas buka aib,,0,0,0,https://x.com/semestakatarsis/status/1774498951489851556,"7,95531E+17",semestakatarsis
Sun Mar 31 18:04:11 +0000 2024,0,Stop kekerasan terhadap anak ya moms. Takit masuk masuk thread komunitas marah marah moms,NewyearLunar,0,0,0,https://x.com/moscatobianco/status/1774497935419675088,77195913,moscatobianco
Sun Mar 31 17:13:59 +0000 2024,0,pengen rajin ngetwit di komunitas marah-marah tapi gabisa marah ,,0,0,0,https://x.com/superbuburayam/status/1774485303602155651,"1,11054E+18",superbuburayam
Sun Mar 31 15:49:03 +0000 2024,0,1 anggota komunitas ramah ramah vs 8 komunitas marah marah (lebih ke jail jail) coded. https://t.co/fdZblPIKpr,,0,0,0,https://x.com/eauderora/status/1774463928439017621,"1,68438E+18",eauderora
Sun Mar 31 15:33:04 +0000 2024,0,Levi anggota komunitas marah marah rangkap admin komunitas bersih bersih ,,0,0,0,https://x.com/devinawidya/status/1774459908790120720,77394350,devinawidya
Sun Mar 31 15:17:58 +0000 2024,0,who? si member komunitas marah-marah?,bloomeya,0,2,0,https://x.com/bedweIIer/status/1774456108733874378,"1,08897E+18",bedweIIer
Sun Mar 31 15:15:31 +0000 2024,1,Tweet Komunitas Marah-Marah udah jarang lewat sekarang yang sering lewat malah tweet Fans Windah Basudara,,0,0,0,https://x.com/mundaneblessing/status/1774455490510295291,255414894,mundaneblessing
Sun Mar 31 14:07:35 +0000 2024,0,Haaa bingung banget kenapa komunitas marah marah cuma bisa segitu padahal gampang marah marah doang... Kok bisa ya,,0,0,0,https://x.com/TracerReo/status/1774438393013010458,"1,76463E+18",TracerReo
Sun Mar 31 14:06:42 +0000 2024,0,KENAPA KOMUNITAS LAIN BISA SAMPE 60 SAMPE 80 REPLY AJGGG YG MARAH MARAH 40 DOANG,,0,0,0,https://x.com/SlayerGojo/status/1774438171369230786,"1,76305E+18",SlayerGojo
Sun Mar 31 13:51:22 +0000 2024,0,KOMUNITAS MARAH MARAH AYO MANE,,0,0,0,https://x.com/george8exe/status/1774434315126161585,"1,66854E+18",george8exe
Sun Mar 31 13:45:40 +0000 2024,0,CEO komunitas marah-marah berati.,Fikght,0,1,0,https://x.com/suhermanvespa/status/1774432877830426639,"1,44972E+18",suhermanvespa
Sun Mar 31 13:45:10 +0000 2024,0,Oii komunitas marah marah lu kga puasa yh,,0,0,0,https://x.com/selftalksj/status/1774432752496194012,"1,30542E+18",selftalksj
Sun Mar 31 13:39:35 +0000 2024,0,KOMUNITAS MARAH MARAH,AerlornVerity,0,0,0,https://x.com/AerlornVerity/status/1774431348389998838,"1,60484E+18",AerlornVerity
Sun Mar 31 13:39:10 +0000 2024,0,Ada komunitas marah marah valorant jangan jangan isinya mingi ,,0,0,0,https://x.com/pistazberry/status/1774431245696663966,1393893126,pistazberry
Sun Mar 31 13:36:44 +0000 2024,0,Phuwin nih the rill anak komunitas marah marah ,,0,0,0,https://x.com/SIMJKYZ/status/1774430631201734774,"8,68614E+17",SIMJKYZ
Sun Mar 31 13:18:33 +0000 2024,0,Di timeline For You -ku ini kadang saling timpa tuh twit dari Komunitas Marah-Marah dan Komunitas Ramah-Ramah . Pas scrolling dan kebaca tuh rasanya kek lagi naik roller coaster. Emosinya jadi ikutan pen ngutuk lalu tetiba mbrebes mili. Gak sehat ni baca pas lagi mens gini.,,0,0,0,https://x.com/lyalyalyaa/status/1774426055673348331,66727223,lyalyalyaa
Sun Mar 31 13:12:57 +0000 2024,0,Tweet aneh komunitas marah-marah tweet keren komunitas ramah-ramah meme ini windah disanding jk di komunitas FWB(Fans windah basudara),WinestHue,0,0,0,https://x.com/vooyagerr/status/1774424646919839891,"1,39795E+18",vooyagerr
Sun Mar 31 12:45:44 +0000 2024,0,KIRAIN AK MASUK KOMUNITAS MARAH TAU NYA MASUK KOMUNITAS RAMAH pantes kalem kalem isi nya,,0,0,0,https://x.com/tersedahk/status/1774417798653247542,"1,41893E+18",tersedahk
Sun Mar 31 12:19:23 +0000 2024,0,Iya salah server sering lewat komunitas marah-marah ,togamme,0,0,0,https://x.com/diijeeh/status/1774411164048666813,86678991,diijeeh
